id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
6184,SLLP,medium_airport,"El Alto International Airport",-16.5132999420166,-68.19229888916016,13355,SA,Bolivia,BO,"La Paz Department",BO-L,L,"La Paz / El Alto",1,SLLP,LPB,,,https://en.wikipedia.org/wiki/El_Alto_International_Airport,,750,2008-07-14T12:56:12+00:00
6193,SLVR,large_airport,"Viru Viru International Airport",-17.6448,-63.135399,1224,SA,Bolivia,BO,"Santa Cruz Department",BO-S,S,"Santa Cruz",1,SLVR,VVI,,,https://en.wikipedia.org/wiki/Viru_Viru_International_Airport,,1050,2019-01-13T13:52:47+00:00
6180,SLCB,medium_airport,"Jorge Wilsterman International Airport",-17.421100616455078,-66.1771011352539,8360,SA,Bolivia,BO,"Cochabamba Department",BO-C,C,Cochabamba,1,SLCB,CBB,,,https://en.wikipedia.org/wiki/Jorge_Wilstermann_International_Airport,,750,2008-07-14T12:56:12+00:00
6189,SLSU,medium_airport,"Juana Azurduy De Padilla Airport",-19.007099,-65.288696,9540,SA,Bolivia,BO,"Chuquisaca Department",BO-H,H,Sucre,0,SLSU,,,,https://en.wikipedia.org/wiki/Juana_Azurduy_de_Padilla_International_Airport,military,750,2020-02-09T15:04:10+00:00
6183,SLET,medium_airport,"El Trompillo Airport",-17.8115997314,-63.1715011597,1371,SA,Bolivia,BO,"Santa Cruz Department",BO-S,S,"Santa Cruz",1,SLET,SRZ,,,https://en.wikipedia.org/wiki/El_Trompillo_Airport,,750,2012-01-28T13:03:47+00:00
6191,SLTR,medium_airport,"Teniente Av. Jorge Henrich Arauz Airport",-14.8186998367,-64.9179992676,509,SA,Bolivia,BO,"El Beni Department",BO-B,B,Trinidad,0,SLTR,TDD,,,https://en.wikipedia.org/wiki/Tte._Av._Jorge_Henrich_Arauz_Airport,,275,2012-01-28T13:08:41+00:00
41591,BO-0001,small_airport,"Rurrenabaque Airport",-14.4279,-67.496803,676,SA,Bolivia,BO,"El Beni Department",BO-B,B,Rurrenabaque,1,SLRQ,RBQ,,,https://en.wikipedia.org/wiki/Rurrenabaque_Airport,,100,2023-01-17T14:15:31+00:00
6190,SLTJ,medium_airport,"Capitan Oriel Lea Plaza Airport",-21.5557,-64.701302,6079,SA,Bolivia,BO,"Tarija Department",BO-T,T,Tarija,1,SLTJ,TJA,,,https://en.wikipedia.org/wiki/Cap._Oriel_Lea_Plaza_Airport,,750,2022-10-14T09:38:17+00:00
6185,SLOR,medium_airport,"Juan Mendoza Airport",-17.962601,-67.076202,12152,SA,Bolivia,BO,"Oruro Department",BO-O,O,Oruro,0,SLOR,ORU,,http://en.wikipedia.org/wiki/Juan_Mendoza_Airport,https://en.wikipedia.org/wiki/Juan_Mendoza_Airport,,250,2024-05-16T20:33:34+00:00
30334,SLRI,medium_airport,"Capitán Av. Selin Zeitun Lopez Airport",-11.009355,-66.075468,462,SA,Bolivia,BO,"El Beni Department",BO-B,B,Riberalta,1,SLRI,RIB,,,https://en.wikipedia.org/wiki/Cap._Av._Selin_Zeitun_Lopez_Airport,,500,2023-09-06T11:52:24+00:00
29926,SLGY,small_airport,"Capitán de Av. Emilio Beltrán Airport",-10.820306,-65.346494,557,SA,Bolivia,BO,"El Beni Department",BO-B,B,Guayaramerín,0,SLGY,,,,https://web.archive.org/web/20160928075315/https://en.wikipedia.org/wiki/Guayaramer%C3%ADn_Airport,GYA,150,2023-09-18T20:22:57+00:00
39473,SLUY,small_airport,"Uyuni Joya Andina Airport",-20.441304,-66.857553,11136,SA,Bolivia,BO,"Potosí Department",BO-P,P,Quijarro,0,SLUY,UYU,,,https://en.wikipedia.org/wiki/Uyuni_Airport,,50,2024-05-29T05:37:36+00:00
6182,SLCO,medium_airport,"Capitán Aníbal Arab Airport",-11.040399551400002,-68.7829971313,889,SA,Bolivia,BO,"Pando Department",BO-N,N,Cobija,1,SLCO,CIJ,,,https://en.wikipedia.org/wiki/Cap._Anibal_Arab_Airport,,750,2012-01-28T12:21:02+00:00
512154,SLGM,medium_airport,"Guayaramerín Airport",-10.88856,-65.380955,456,SA,Bolivia,BO,"El Beni Department",BO-B,B,Guayaramerín,1,SLGM,GYA,,,https://en.wikipedia.org/wiki/Guayaramer%C3%ADn_Airport,,500,2023-09-18T20:44:59+00:00
6187,SLPS,medium_airport,"Capitán Av. Salvador Ogaya G. airport",-18.975301,-57.820599,440,SA,Bolivia,BO,"Santa Cruz Department",BO-S,S,"Puerto Suárez",1,SLPS,PSZ,,,https://en.wikipedia.org/wiki/Puerto_Su%C3%A1rez_International_Airport,,500,2018-10-25T00:22:54+00:00
333229,SLAL,medium_airport,"Alcantarí Airport",-19.246835,-65.149611,10184,SA,Bolivia,BO,"Chuquisaca Department",BO-H,H,Yamparaez,1,SLAL,SRE,,,https://en.wikipedia.org/wiki/Alcantar%C3%AD_Airport,,500,2020-02-09T15:17:55+00:00
6194,SLYA,medium_airport,"Yacuiba Airport",-21.960899353027344,-63.65169906616211,2112,SA,Bolivia,BO,"Tarija Department",BO-T,T,Yacuíba,0,SLYA,BYC,,,https://en.wikipedia.org/wiki/Yacuiba_Airport,,275,2008-07-14T12:56:12+00:00
6179,SLBJ,medium_airport,"Bermejo Airport",-22.7733001709,-64.31289672850001,1249,SA,Bolivia,BO,"Tarija Department",BO-T,T,Bermejo,0,SLBJ,BJO,,,https://en.wikipedia.org/wiki/Bermejo_Airport,,250,2012-01-28T12:16:09+00:00
6186,SLPO,medium_airport,"Capitan Nicolas Rojas Airport",-19.543331,-65.723734,12922,SA,Bolivia,BO,"Potosí Department",BO-P,P,Potosí,0,SLPO,POI,,,https://en.wikipedia.org/wiki/Cap._Nicolas_Rojas_Airport,,250,2020-01-05T06:44:22+00:00
345118,SLSV,medium_airport,"San Ignacio de Velasco Airport",-16.401239,-61.0452,1477,SA,Bolivia,BO,"Santa Cruz Department",BO-S,S,"San Ignacio de Velasco",0,SLSV,,,,,,250,2024-06-25T13:10:56+00:00
6188,SLSA,medium_airport,"Santa Ana Del Yacuma Airport",-13.762200355500001,-65.4352035522,472,SA,Bolivia,BO,"El Beni Department",BO-B,B,"Santa Ana del Yacuma",0,SLSA,SBL,,,https://en.wikipedia.org/wiki/Santa_Ana_del_Yacuma_Airport,,250,2012-01-28T13:00:32+00:00
6192,SLVM,medium_airport,"Teniente Coronel Rafael Pabón Airport",-21.255199432399998,-63.4056015015,1305,SA,Bolivia,BO,"Tarija Department",BO-T,T,Villamontes,0,SLVM,VLM,,,https://en.wikipedia.org/wiki/Tcnl._Rafael_Pab%C3%B3n_Airport,,250,2012-01-28T13:12:52+00:00
39530,SLPR,small_airport,"Puerto Rico Airport",-11.107663,-67.551155,597,SA,Bolivia,BO,"Pando Department",BO-N,N,"Puerto Rico/Manuripi",1,SLPR,PUR,,,https://en.wikipedia.org/wiki/Puerto_Rico_Airport,,150,2018-09-16T02:59:35+00:00
30331,SLRY,small_airport,"Reyes Airport",-14.3044,-67.353401,935,SA,Bolivia,BO,"El Beni Department",BO-B,B,Reyes,1,SLRY,REY,,,https://en.wikipedia.org/wiki/Reyes_Airport,,150,2018-09-16T02:58:20+00:00
30364,SLSB,small_airport,"Capitán Av. German Quiroga G. Airport",-14.859199523925781,-66.73750305175781,633,SA,Bolivia,BO,"El Beni Department",BO-B,B,"San Borja",1,SLSB,SRJ,,,https://en.wikipedia.org/wiki/Capitán_Germán_Quiroga_Guardia_Airport,,150,2009-01-17T11:45:49+00:00
6181,SLCH,small_airport,"Chimore Airport",-16.976834,-65.145568,875,SA,Bolivia,BO,"Cochabamba Department",BO-C,C,Chimore,1,SLHI,CCA,,,https://en.wikipedia.org/wiki/Chimore_Airport,,100,2021-06-02T10:29:46+00:00
39460,SLSF,small_airport,"San Rafael Airport",-17.2891,-62.304,890,SA,Bolivia,BO,"Santa Cruz Department",BO-S,S,,0,SLSF,,,,,,50,2015-04-24T23:54:18+00:00
314416,SLGQ,small_airport,"Chiquitos Airport",-18.5222,-60.6804,1058,SA,Bolivia,BO,"Santa Cruz Department",BO-S,S,,0,SLGQ,,,,,,50,2015-04-25T18:49:42+00:00
314417,SLDL,small_airport,"Dalmacia Airport",-17.4426,-62.2442,888,SA,Bolivia,BO,"Santa Cruz Department",BO-S,S,,0,SLDL,,,,,,50,2015-04-25T19:15:53+00:00
525733,BO-0018,small_airport,"Carol Marghata Airport",-17.43685,-62.34296,885,SA,Bolivia,BO,"Santa Cruz Department",BO-S,S,,0,SLCH,,,,,,50,2024-04-15T08:43:54+00:00
39430,SLCY,small_airport,"Collpa Airport",-17.565000534057617,-63.17470169067383,1170,SA,Bolivia,BO,"Santa Cruz Department",BO-S,S,"A. Ibañez",0,SLCY,,,,,,50,2008-07-14T12:56:12+00:00
39546,SLSK,small_airport,"Santa Rosa Del Sara Airport",-17.104719,-63.608372,850,SA,Bolivia,BO,"Santa Cruz Department",BO-S,S,"A. Ibañez",0,SLSK,,,,https://en.wikipedia.org/wiki/Santa_Rosa_del_Sara_Airport,,50,2024-06-07T09:54:53+00:00
39415,SLAB,closed,"Abapó Airport",-18.63447,-62.936735,2752,SA,Bolivia,BO,"Santa Cruz Department",BO-S,S,Abapó,0,,,,,,"SLAB, SLAB",50,2021-04-25T16:37:59+00:00
39492,SLCL,small_airport,"Collpani Airport",-18.891666,-66.783333,12185,SA,Bolivia,BO,"Oruro Department",BO-O,O,Abaroa,0,SLCL,,,,https://en.wikipedia.org/wiki/Challapata_Airport,,50,2024-05-21T16:40:30+00:00
39465,SLSE,small_airport,"Santa Teresita Airport",-16.285,-59.495167,756,SA,Bolivia,BO,"Santa Cruz Department",BO-S,S,"Angel Sandoval",0,SLSE,,,,https://en.wikipedia.org/wiki/Santa_Teresita_Airport_(Bolivia),,50,2024-05-18T23:07:23+00:00
29662,SLAP,small_airport,"Apolo Airport",-14.7356,-68.411903,4639,SA,Bolivia,BO,"La Paz Department",BO-L,L,Apolo,0,SLAP,APB,,,https://en.wikipedia.org/wiki/Apolo_Airport,,50,2024-04-07T06:13:54+00:00
39556,SLVA,small_airport,"Villa Aroma Airport",-17.32101,-67.75322,12533,SA,Bolivia,BO,"La Paz Department",BO-L,L,Aroma,0,SLVA,,,,https://en.wikipedia.org/wiki/Villa_Aroma_Airport,,50,2024-05-18T23:08:56+00:00
29671,SLAS,small_airport,"Ascención De Guarayos Airport",-15.9303,-63.1567,807,SA,Bolivia,BO,"Santa Cruz Department",BO-S,S,"Ascensión de Guarayos",0,SLAS,ASC,,,https://en.wikipedia.org/wiki/Ascensi%C3%B3n_de_Guarayos_Airport,,50,2024-04-07T06:17:04+00:00
